# ID            Ra                 Dec                 Field            M_UV                zbest              zphot              zspec  ref                                   isBL Xray index MBH                Lbol                 
  15619         3.444851           -30.326362          A2744            -19.13              9.13               9.13               0.0    Kocevski24                            0    0    0     -99.0              8.515410245654597E43 
  1831          3.486596           -30.329439          A2744            -16.77              5.17               5.17               0.0    Kocevski24                            0    0    1     -99.0              1.2007620706994132E43
  12512         3.491766           -30.298303          A2744            -19.79              9.04               9.04               0.0    Kocevski24                            0    0    2     -99.0              1.4952832212774793E44
  3943          3.49885            -30.35294           A2744            -19.65              4.75               4.75               0.0    Kocevski24                            0    0    3     -99.0              1.3262884926511516E44
  3345          3.506422           -30.345965          A2744            -19.82              6.79               6.79               0.0    Kocevski24                            0    0    4     -99.0              1.5342616790114026E44
  2918          3.510632           -30.341966          A2744            -19.65              4.36               4.36               0.0    Kocevski24                            0    0    5     -99.0              1.3262884926511516E44
  23908         3.524729           -30.368595          A2744            -16.88              5.71               5.71               0.0    Kocevski24                            0    0    6     -99.0              1.312900873668386E43 
  4535          3.530005           -30.358017          A2744            -19.05              4.96               4.96               4.96   Kocevski24/greene23                   2    0    7     8.4                1.9952623149688667E45
  3989          3.533994           -30.353307          A2744            -19.41              6.76               6.76               6.76   Kocevski24/greene23                   2    0    8     7.7                1.9952623149688667E45
  23608         3.542815           -30.380646          A2744            -20.50757785471091  5.8                0.0                5.8    greene23                              1    0    9     7.5                1.5848931924611238E44
  9904          3.550837           -30.406602          A2744            -18.98              5.05               5.05               5.05   Kocevski24/greene23                   2    0    10    -99.0              7.499073078228793E43 
  26742         3.567011           -30.379722          A2744            -18.53              5.71               5.71               0.0    Kocevski24                            0    0    11    -99.0              5.131992622724041E43 
  25119         3.56959            -30.373221          A2744            -17.69              7.04               7.04               7.04   Kocevski24/greene23                   2    0    12    -99.0              2.5495652184558343E43
  33626         3.575986           -30.419028          A2744            -16.3               3.82               3.82               0.0    Kocevski24                            0    0    13    -99.0              8.218311294352459E42 
  GLASS_150029  3.577167           -30.422583          A2744            -20.50757785471091  4.583              0.0                4.583  Harikane23                            3    0    14    6.568201724066995  9.1E44               
  35488         3.578984           -30.362598          A2744            -20.50757785471091  6.26               0.0                6.26   greene23                              1    0    15    7.4                6.309573444801891E44 
  9497          3.579833           -30.401568          A2744            -18.72              7.04               7.04               7.04   Kocevski24/greene23/furtak23          2    0    16    7.3                1.0E45               
  GLASS_160133  3.580292           -30.424389          A2744            -20.50757785471091  4.015              0.0                4.015  Harikane23                            3    0    17    6.361727836017593  1.1E45               
  15383a        3.583534           -30.396678          A2744            -20.50757785471091  7.04               0.0                7.04   greene23/furtak23                     1    0    18    7.3                1.0E45               
  45924         3.584758           -30.34363           A2744            -20.50757785471091  4.46               0.0                4.46   greene23                              2    0    19    8.9                2.511886431509572E46 
  35436         3.592416           -30.432824          A2744            -18.93              6.74               6.74               6.74   Kocevski24/greene23                   0    0    20    6.681241237375588  7.18853040841885E43  
  16594a        3.597203           -30.39433           A2744            -20.50757785471091  7.04               0.0                7.04   greene23/furtak23/Kocevski24          1    0    21    7.3                1.0E45               
  10799         3.598794           -30.418731          A2744            -18.15              3.97               3.97               0.0    Kocevski24                            0    0    22    -99.0              3.734563112962459E43 
  4286          3.619202           -30.42327           A2744            -20.50757785471091  5.84               0.0                5.84   greene23/Kocevski24                   2    0    23    8.0                2.511886431509572E45 
  9358          3.620612           -30.399949          A2744            -18.63              6.34               6.34               6.34   Kocevski24/greene23                   2    0    24    8.1                2.511886431509572E45 
  9447          3.625125           -30.401414          A2744            -18.47              3.25               3.25               0.0    Kocevski24                            0    0    25    -99.0              4.880049520705183E43 
  9858          3.636965           -30.406357          A2744            -21.85              8.65               8.65               0.0    Kocevski24                            0    0    26    -99.0              8.973831344527008E44 
  29255         3.640414           -30.386432          A2744            -18.18              8.5                8.5                8.5    Kocevski24/greene23kokorev23          2    0    27    8.17               6.309573444801892E45 
  34404         3.66352            -30.423629          A2744            -18.28              6.01               6.01               0.0    Kocevski24                            0    0    28    -99.0              4.1625120087466885E43
